entity,period,metric,value,unit,row_role,level,src_sheet,src_row,src_col,scale_applied,scale_source,raw_value,flags
서울특별시 > 남자 > 0세,2023,적용인구 (명),19586,,data,0,데이터,85,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 0세,2024,적용인구 (명),20350,,data,0,데이터,85,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 5 - 9세,2023,적용인구 (명),154255,,data,0,데이터,86,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 5 - 9세,2024,적용인구 (명),145044,,data,0,데이터,86,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 10 - 14세,2023,적용인구 (명),180565,,data,0,데이터,87,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 10 - 14세,2024,적용인구 (명),179386,,data,0,데이터,87,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 15 - 19세,2023,적용인구 (명),190738,,data,0,데이터,88,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 15 - 19세,2024,적용인구 (명),186833,,data,0,데이터,88,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 20 - 24세,2023,적용인구 (명),267042,,data,0,데이터,89,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 20 - 24세,2024,적용인구 (명),257321,,data,0,데이터,89,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 25 - 29세,2023,적용인구 (명),392193,,data,0,데이터,90,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 25 - 29세,2024,적용인구 (명),377489,,data,0,데이터,90,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 30 - 34세,2023,적용인구 (명),402565,,data,0,데이터,91,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 30 - 34세,2024,적용인구 (명),411645,,data,0,데이터,91,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 35 - 39세,2023,적용인구 (명),338216,,data,0,데이터,92,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 35 - 39세,2024,적용인구 (명),337083,,data,0,데이터,92,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 40 - 44세,2023,적용인구 (명),376663,,data,0,데이터,93,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 40 - 44세,2024,적용인구 (명),363987,,data,0,데이터,93,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 45 - 49세,2023,적용인구 (명),345281,,data,0,데이터,94,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 45 - 49세,2024,적용인구 (명),340205,,data,0,데이터,94,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 50 - 54세,2023,적용인구 (명),397783,,data,0,데이터,95,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 50 - 54세,2024,적용인구 (명),389866,,data,0,데이터,95,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 55 - 59세,2023,적용인구 (명),344369,,data,0,데이터,96,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 55 - 59세,2024,적용인구 (명),349363,,data,0,데이터,96,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 60 - 64세,2023,적용인구 (명),334516,,data,0,데이터,97,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 60 - 64세,2024,적용인구 (명),329171,,data,0,데이터,97,5,1,none,,DITTO_FILLED
